ORGANIZATION,ADDRESS,Tel,FAX,WEBSITE,EMAIL,lon,lat
Abilities Beyond Limitations and Expectations Ltd,Blk 7A Lorong 8 Toa Payoh  #02-09 Singapore  319264,6801 7460,-,www.able-sg.org,enquiries@able-sg.org,103.8569033,1.3401235
ACTS Baptist Church,Blk 1023  Upper Serangoon Road #04-01 Singapore 534761,6611 0610,-,www.actsbc.org,contact@actsbc.org,103.887782,1.3628945
Agency for Integrated Care,Blk 5 Maxwell RoadTower Block MND Complex #10-00 Singapore 069110,6603 6800,-,www.aic.sg,enquiries@aic.sg,103.845805,1.278909
AIN Society,Blk 2 Eunos Crescent  #01-2545 400002,6848 5166,6844 7243,www.ainsociety.org.sg,query@ainsociety.org.sg,103.9022771,1.3207072
Alexandra Health Pte Ltd,Blk 90 Yishun Central Khoo Teck Puat Hospital Singapore 768828,6602 2588,6602 3792,www.alexandrahealth.com.sg,tan.chin.yee@alexandrahealth.com.sg,103.8381574,1.4245534
Alexandra Hospital - Care & Counselling,Blk 378 Alexandra Road Singapore 159964,6379 3260,-,www.ah.com.sg,alexcnc_enquiries@nuhs_edu.sg,103.8009269,1.2867597
Alexandra Hospital - Medical Social Service,Blk 378 Alexandra Road Singapore 159964,6472 2000,6379 3880,www.alexhosp.com.sg,enquiries@juronghealth.com.sg,103.8009269,1.2867597
aLife Ltd,Blk 308 Shunfu Road #01-165 Singapore 570308,6258 8816,6258 4339,www.alife.org.sg,peiyan@alife.org.sg,103.837687,1.350699
Alzheimer’s Disease Association,"Blk 20  Bendemeer Road, BS Bendemeer Centre #01-02 Singapore  339914",6389 5103,6293 6631,www.alz.org.sg,-,103.8620717,1.3144299
AMKFSC Community Services Ltd - Ang Mo Kio,Blk 230 Ang Mo Kio Avenue 3 #01-1264 Singapore  560230,6453 5349,6455 6183,www.amkfsc.org.sg,amkfsc230@amkfsc.org.sg,103.837884,1.3688659
